$ sh -lc busctl\ --system\ list\ --no-pager\ \|\|\ true
NAME                          PID PROCESS         USER            CONNECTION    UNIT                        SESSION DESCRIPTION
:1.0                          234 systemd-resolve systemd-resolve :1.0          systemd-resolved.service    -       -
:1.1                            1 systemd         root            :1.1          init.scope                  -       -
:1.2                          264 udisksd         root            :1.2          udisks2.service             -       -
:1.3                          258 systemd-logind  root            :1.3          systemd-logind.service      -       -
:1.4                          251 polkitd         polkitd         :1.4          polkit.service              -       -
:1.5                          301 unattended-upgr root            :1.5          unattended-upgrades.service -       -
:1.7                          358 systemd-timedat root            :1.7          systemd-timedated.service   -       -
:1.8                          443 busctl          root            :1.8          init.scope                  -       -
com.ubuntu.SoftwareProperties   - -               -               (activatable) -                           -       -
org.freedesktop.DBus            1 systemd         root            -             init.scope                  -       -
org.freedesktop.ModemManager1   - -               -               (activatable) -                           -       -
org.freedesktop.PackageKit      - -               -               (activatable) -                           -       -
org.freedesktop.PolicyKit1    251 polkitd         polkitd         :1.4          polkit.service              -       -
org.freedesktop.UDisks2       264 udisksd         root            :1.2          udisks2.service             -       -
org.freedesktop.bolt            - -               -               (activatable) -                           -       -
org.freedesktop.fwupd           - -               -               (activatable) -                           -       -
org.freedesktop.hostname1       - -               -               (activatable) -                           -       -
org.freedesktop.locale1         - -               -               (activatable) -                           -       -
org.freedesktop.login1        258 systemd-logind  root            :1.3          systemd-logind.service      -       -
org.freedesktop.network1        - -               -               (activatable) -                           -       -
org.freedesktop.resolve1      234 systemd-resolve systemd-resolve :1.0          systemd-resolved.service    -       -
org.freedesktop.systemd1        1 systemd         root            :1.1          init.scope                  -       -
org.freedesktop.timedate1     358 systemd-timedat root            :1.7          systemd-timedated.service   -       -
org.freedesktop.timesync1       - -               -               (activatable) -                           -       -
